data,Libya,Benghazi,Tripoli,Misrata,Aljufra,Ejdabia,Aljfara,Azzawya,Sebha,Alkufra,Murzuq
Informal or irregular labour,55,39,63,44,47,63,0,46,48,84,57
Other (please specify),2,0,0,1,0,2,100,4,14,0,2
Don't know,3,0,1,12,0,3,0,3,3,0,10
Prefer not to answer,1,0,0,0,0,1,0,1,1,2,1
1. Permanent full time  with annual/monthly/weekly wage,"","","","","","","","","","",""
Average,0.0465686274509804,0.214285714285714,0.010989010989011,0.024390243902439,0,0,0,0.0178571428571429,0.0526315789473684,0.333333333333333,0.185185185185185
2. Temporary job with weekly/daily/monthly wage,"","","","","","","","","","",""
Average,0.0612745098039216,0,0.021978021978022,0.024390243902439,0.0333333333333333,0.1875,0,0.0892857142857143,0.0526315789473684,0.0666666666666667,0.185185185185185
3. Daily labour,"","","","","","","","","","",""
Average,0.105392156862745,0,0.043956043956044,0.0853658536585366,0.1,0.125,0,0.125,0.526315789473684,0.133333333333333,0.037037037037037
type_jobs_minors_calc,"","","","","","","","","","",""
Average,0.213235294117647,0.214285714285714,0.0769230769230769,0.134146341463415,0.133333333333333,0.3125,0,0.232142857142857,0.631578947368421,0.533333333333333,0.407407407407407
1. Farming/ agriculture work,"","","","","","","","","","",""
Average,0.196969696969697,0.5,0.25,0.125,0,0,,0.0454545454545455,0.272727272727273,0.2,0.833333333333333
2. Factory work/manufacturing of products,"","","","","","","","","","",""
Average,0.0757575757575758,0,0,0,0,0.25,,0.0909090909090909,0.181818181818182,0,0
3. Construction,"","","","","","","","","","",""
Average,0.318181818181818,0,0,0.625,0,0,,0.545454545454545,0,0.2,0.5
4. Transporting goods or people,"","","","","","","","","","",""
Average,0.181818181818182,0,0.75,0,0.5,0.5,,0.181818181818182,0,0.2,0
5. Oil production,"","","","","","","","","","",""
Average,0.0454545454545455,0,0,0.125,0.5,0,,0,0,0,0
6. Mechanical work (repairing vehicles etc.),"","","","","","","","","","",""
Average,0.227272727272727,1,0,0.125,0,0.25,,0.0909090909090909,0.272727272727273,0.8,0.333333333333333
"7, Domestic work/cleaning","","","","","","","","","","",""
Average,0.212121212121212,0,0.25,0.25,0,0.25,,0.227272727272727,0.272727272727273,0.2,0.166666666666667
8. Other harsh or dangerous labour,"","","","","","","","","","",""
Average,0,0,0,0,0,0,,0,0,0,0
9. other Non harsh or dangerous labour,"","","","","","","","","","",""
Average,0.0606060606060606,0,0.5,0.125,0,0,,0,0.0909090909090909,0,0
type_sectors_minors_calc,"","","","","","","","","","",""
Average,1.26086956521739,1.5,1.75,1,1,1.25,,1.18181818181818,1.09090909090909,1.6,1.83333333333333
1. Permanent full time  with annual/monthly/weekly wage,"","","","","","","","","","",""
Average,0.466049382716049,1.01470588235294,0.171875,0.380952380952381,0.186046511627907,0.217391304347826,0,0.377952755905512,1.13953488372093,0.592592592592593,0.175324675324675
2. Temporary job with weekly/daily/monthly wage,"","","","","","","","","","",""
Average,0.280864197530864,0.147058823529412,0.3671875,0.246031746031746,0.0465116279069767,0.347826086956522,0,0.299212598425197,0.244186046511628,0.476851851851852,0.0844155844155844
3. Daily labour,"","","","","","","","","","",""
Average,0.520576131687243,0.867647058823529,0.265625,0.404761904761905,0.186046511627907,1,1,0.220472440944882,1.83720930232558,0.615740740740741,0.0714285714285714
type_jobs_adults_calc,"","","","","","","","","","",""
Average,1.26748971193416,2.02941176470588,0.8046875,1.03174603174603,0.418604651162791,1.56521739130435,1,0.897637795275591,3.22093023255814,1.68518518518519,0.331168831168831
1. Salaried work,"","","","","","","","","","",""
Average,916.257110352674,1276.44366197183,677.649122807018,857.276315789474,418.888888888889,1171.32231404959,,1510.28571428571,915.066666666667,879.898550724638,404.615384615385
2. Casual or daily labour,"","","","","","","","","","",""
Average,612.84496124031,825.068965517241,386.958333333333,396.351351351351,754,547.110091743119,0,1058.33333333333,877.222222222222,409.701986754967,307.87037037037
3. Income from own business or commerce,"","","","","","","","","","",""
Average,181.996975196612,136.802030456853,24.0279329608939,99.273381294964,372.89156626506,27.379679144385,0,802.758620689655,28.2248520710059,91.1559633027523,99.875
4. Support from family and friends in Libya,"","","","","","","","","","",""
Average,18.5073529411765,4.66321243523316,24.5483870967742,11.4357142857143,6.22406639004149,8.96739130434783,0,116.30303030303,4.16666666666667,2.96296296296296,1.29761904761905
5. Support from family and friends in home country,"","","","","","","","","","",""
Average,2.67401960784314,0.0414507772020725,6.12903225806452,4.64285714285714,0,3.53260869565217,0,4.24242424242424,0,5.32407407407407,1.52380952380952
6. Support/remittances from family and friends in Europe,"","","","","","","","","","",""
Average,4.40379901960784,0.0414507772020725,4.35483870967742,0,0,1.6304347826087,0,21.5151515151515,4.16666666666667,8.7962962962963,0.321428571428571
7. Humanitarian assistance,"","","","","","","","","","",""
Average,8.66487775790101,2.53807106598985,39.6388888888889,4.78571428571429,0,15.5080213903743,0,10,4.31952662721894,2.5,2.26785714285714
Zakat,"","","","","","","","","","",""
Average,6.5169946332737,1.56345177664975,17.5277777777778,1.42857142857143,0.843373493975904,8.55614973262032,0,21.6766467065868,7.48520710059172,2.38532110091743,0.303571428571429
9. Other (please specify),"","","","","","","","","","",""
Average,2.96935096153846,0,17.4277777777778,0,0,0.427807486631016,0,7.18562874251497,0.591715976331361,0,2.73548387096774
incomes_group_calc,"","","","","","","","","","",""
Average,1107.13686249193,1493.49444444444,525.330275229358,814.735294117647,1227.09956709957,1109.58100558659,0,2230.43209876543,921.706586826347,943.138888888889,458.410714285714
No income,"","","","","","","","","","",""
Average,4.84276729559748,0,19.1304347826087,16.5680473372781,0,0,50,0,6.58682634730539,0,8.92857142857143
1. Cash,"","","","","","","","","","",""
Average,89.6501746216531,99.2893401015228,79.3387096774194,65.9883720930233,99.5617529880478,88.6010638297872,0,96.1377245508982,90.7692307692308,94.8165137614679,87.1428571428571
2. Transferred to bank account in Libya; ,"","","","","","","","","","",""
Average,0.168800931315483,0.101522842639594,0.537634408602151,0.581395348837209,0,0.265957446808511,0,0.119760479041916,0,0,0
3. Transferred to bank account in country of origin;  ,"","","","","","","","","","",""
Average,0.722933643771828,0.609137055837564,1.02150537634409,1.3953488372093,0,3.30851063829787,0,0.419161676646707,0,0,0
4. Cheques,"","","","","","","","","","",""
Average,0.317229336437718,0,0,0,0.159362549800797,1.40957446808511,0,0.29940119760479,0,0.642201834862385,0.297619047619048
5. Phone top-up cards,"","","","","","","","","","",""
Average,0.413853317811409,0,0.860215053763441,0.63953488372093,0,0.0372340425531915,0,1.82035928143713,0.0591715976331361,0.137614678899083,0.535714285714286
6. Prepaid card or gift card,"","","","","","","","","","",""
Average,0.263678696158324,0,1.8010752688172,0.116279069767442,0,0,0,0.287425149700599,0,0,0.297619047619048
"7. Other in-kind (e.g., food)","","","","","","","","","","",""
Average,1.81431897555297,0,3.94086021505376,0.377906976744186,0.278884462151394,6.29787234042553,0,0.718562874251497,0.828402366863905,2.56880733944954,1.45833333333333
8. Other (please specify),"","","","","","","","","","",""
Average,0.286961583236321,0,0.672043010752688,0.494186046511628,0,0.0797872340425532,0,0.197604790419162,0.0591715976331361,0,1.33928571428571
income_modality_group_calc,"","","","","","","","","","",""
Average,98.5884749708964,100,102.150537634409,88.2267441860465,100,100,50,100,98.2248520710059,98.1651376146789,100
Did you face any challenges obtaining enough money to meet your needs over the last 30 days?,"","","","","","","","","","",""
No,56,84,24,53,41,53,50,77,72,72,36
Yes,42,15,75,45,59,47,50,23,26,25,61
Don't know,1,1,2,1,0,0,0,0,1,2,2
Prefer not to answer,0,1,0,0,0,0,0,0,1,1,1
What were the main challenges to obtaining enough money to meet your  needs in the last 30 days?,"","","","","","","","","","",""
Lack of work opportunity,55,63,70,62,49,44,0,36,39,44,67
Salary or wages too low,37,50,37,62,14,49,0,38,27,80,20
Salary or wages not regularly paid,47,60,22,19,67,66,0,72,50,18,60
Unable to withdraw enough money from bank account,1,0,1,0,0,7,0,0,0,0,0
No currently functioning banks/financial institutions in my area,2,0,0,0,0,1,0,26,0,2,0
Other (please specify),2,0,6,0,0,0,100,0,0,2,1
Don't know,0,0,0,0,0,1,0,0,0,0,0
Prefer not to answer,0,0,0,3,0,1,0,0,0,0,0
"When buying items for domestic consumption in Libya, do you buy for your household, share a budget with other people or buy only for yourself?","","","","","","","","","","",""
I share nearly all expenses with other people (not family members or dependents),37,22,15,16,63,48,0,2,42,54,57
I buy for my household (family members or dependents),27,21,55,49,15,10,50,71,12,8,13
I buy only for myself,18,50,16,23,11,14,0,19,14,3,16
I share only certain types of expenses with other people (not family members or dependents),16,6,9,9,9,28,0,8,31,31,13
Other (please specify),1,0,2,0,2,0,50,0,1,2,0
Prefer not to answer,1,0,2,1,0,0,0,0,0,2,1
Don't know,0,1,1,1,0,0,0,1,0,0,0
1. Food items,"","","","","","","","","","",""
Average,266.040745052387,558.401015228426,203.849462365591,266.511627906977,200.239043824701,144.893617021277,100,467.215568862275,160.201183431953,164.284403669725,265.97619047619
2. Rent,"","","","","","","","","","",""
Average,178.270642201835,213.125,312.940740740741,286.173228346457,86.1458333333333,146.030927835052,350,374.142857142857,86.858407079646,103.716049382716,119.422764227642
3. Shelter maintenance,"","","","","","","","","","",""
Average,9.14784633294529,4.06091370558376,5.37634408602151,13.8662790697674,0.398406374501992,7.3936170212766,0,50.5988023952096,3.22485207100592,1.26146788990826,4.58928571428571
4. Water (from all sources combined),"","","","","","","","","","",""
Average,20.5081490104773,4.92893401015228,16.8655913978495,29.1162790697674,18.2390438247012,11.4627659574468,0,78.7724550898204,2.01183431952663,1.68807339449541,32.8630952380952
"5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","","","","","","","","","","",""
Average,32.7235157159488,48.9289340101523,17.8064516129032,56.1918604651163,20.2191235059761,30.6382978723404,0,65.7365269461078,28.0177514792899,8.60091743119266,30.8333333333333
6. Utilities (electricity and gas connections),"","","","","","","","","","",""
Average,7.00989522700815,6.61421319796954,4.67741935483871,12.0406976744186,0.159362549800797,0.159574468085106,0,41.9760479041916,0.710059171597633,0.321100917431193,3.14880952380952
"7. Fuel (for cooking, for vehicles, etc.)","","","","","","","","","","",""
Average,24.1944121071013,14.0964467005076,9.78494623655914,9.07558139534884,14.1155378486056,9.37234042553191,0,125.796407185629,24.396449704142,10.9403669724771,15.3988095238095
"8. Health-related expenditures (healthcare, medicine, etc.)","","","","","","","","","","",""
Average,31.0145518044237,34.7715736040609,47.6505376344086,67.4127906976744,6.49402390438247,12.2074468085106,0,99.4610778443114,6.71597633136095,13.3073394495413,8.35714285714286
"9. Education-related expenditures (school fees, supplies, uniforms, etc.)","","","","","","","","","","",""
Average,98.9240196078431,67.1428571428571,15.4395604395604,49.7560975609756,3,18.75,0,293.535714285714,8.42105263157895,14,11.1111111111111
10. Transportation ,"","","","","","","","","","",""
Average,49.3015133876601,65.8527918781726,47.3978494623656,67.8779069767442,4.40239043824701,30.8244680851064,0,161.407185628743,10.6213017751479,25.4403669724771,59.7619047619048
11. Mobile phone credit,"","","","","","","","","","",""
Average,54.6024447031432,71.9035532994924,32.4462365591398,69.5116279069767,53.9043824701195,29.9468085106383,0,105.958083832335,54.3786982248521,32.9128440366973,50.1845238095238
"12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","","","","","","","","","","",""
Average,25.0681024447031,0,1.85483870967742,15.406976744186,4.7808764940239,9.62765957446809,0,206.047904191617,7.54437869822485,0.26605504587156,7.85119047619048
13. Debt repayment,"","","","","","","","","","",""
Average,47.4813736903376,7.66497461928934,21.5860215053763,45.4651162790698,0.199203187250996,9.06914893617021,0,64.1556886227545,7.92899408284024,35.7752293577982,277.5
14. All other expenditures (specify),"","","","","","","","","","",""
Average,4.88170163170163,0,2.90322580645161,20.4651162790698,0.199203187250996,1.59574468085106,0,20.8982035928144,2.63095238095238,0,0.209580838323353
what is your total amount of debt (in LYD)?,"","","","","","","","","","",""
Average,1776.29045643154,1513.63636363636,1041.17647058824,3611.16666666667,50,355.238095238095,,1669.5652173913,411.333333333333,89.9462365591398,26650.8571428571
What was the primary reason for taking on debt?,"","","","","","","","","","",""
Accessing food,35,36,18,23,100,71,,30,33,38,14
Paying for other basic needs,21,9,6,3,0,5,,13,33,38,0
Paying for rent,10,0,29,13,0,14,,7,33,5,0
Purchasing productive assets (for small business or income-generating activities),9,0,0,3,0,0,,30,0,4,43
Paying for healthcare,7,9,29,27,0,5,,2,0,2,0
Paying smuggler or connection house operator,6,27,0,3,0,5,,15,0,2,0
Paying for release from captivity,3,18,0,17,0,0,,0,0,0,0
"Purchasing non-productive assets (e.g. TV, household appliances, furniture, gold, etc.)",2,0,0,0,0,0,,0,0,6,0
Other (please specify),2,0,0,0,0,0,,0,0,1,43
Paying for shelter maintenance,2,0,0,7,0,0,,2,0,1,0
Prefer not to answer,1,0,6,3,0,0,,0,0,1,0
Paying for education,1,0,12,0,0,0,,0,0,1,0
What percentage of your income would you estimate you send to family in your country of origin per month?,"","","","","","","","","","",""
Average,28.3576594345825,33.9289340101523,7.41059602649007,32.2845528455285,50.6374501992032,46.313829787234,,10.3592814371257,18.2558139534884,29.4485981308411,2.35416666666667
what percentage of your income would you estimate you save in Libya (do not spend/send) per month?,"","","","","","","","","","",""
Average,18.7720105124836,34.5939086294416,7.00657894736842,16.3414634146341,7.11553784860558,21.7340425531915,,10.9221556886228,38.7790697674419,33.8457943925234,2.82638888888889
What was the payment modality most commonly used by your household in the past 30 days?,"","","","","","","","","","",""
Cash (LYD),98,100,96,99,100,96,100,98,99,97,100
Cash (foreign/non-LYD),1,0,0,1,0,3,0,1,1,1,0
Prefer not to answer,0,0,2,0,0,0,0,0,0,1,0
Bank transfers,0,0,0,0,0,1,0,1,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,0
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
Prepaid or gift card,0,0,1,0,0,0,0,0,0,0,0
Cheques ,0,0,0,0,0,0,0,0,0,0,0
Do you have access to a marketplace or grocery store where you can find fresh produce in your mahalla or close to your mahalla?,"","","","","","","","","","",""
Yes,85,65,90,94,94,97,50,99,95,55,79
No,15,35,8,6,6,3,50,1,5,44,20
Prefer not to answer,0,0,2,0,0,0,0,0,0,0,1
Don't know,0,0,1,0,0,0,0,0,0,0,1
What means of transport do you usually use to travel to the nearest marketplace or grocery store where you can find fresh produce?,"","","","","","","","","","",""
Walking,75,87,85,73,80,68,100,74,71,71,68
Car,13,12,5,25,6,9,0,8,3,28,30
Bicycle,6,1,5,1,10,10,0,4,19,0,2
Driven there by somebody I know,3,1,1,0,5,3,0,12,2,2,0
Public transport,2,0,4,1,0,7,0,2,4,0,0
Other (please specify),0,0,0,0,0,2,0,0,1,0,0
For how long do you have to travel using this means of transport to get to the nearest marketplace or grocery store where you can find fresh produce?,"","","","","","","","","","",""
Less than 15 minutes,67,90,73,71,75,70,100,48,80,81,8
15-29 minutes,22,7,20,20,21,17,0,48,20,17,25
30-59 minutes,9,3,7,7,4,5,0,4,0,2,53
1-2 hours,2,0,1,1,0,7,0,0,0,0,14
More than 2 hours,0,0,0,1,0,0,0,0,0,0,0
"In the last 30 days, did you face any barriers to consistently accessing marketplaces?","","","","","","","","","","",""
No barriers faced when accessing marketplace,76,95,68,84,96,95,100,62,49,75,51
Live too far from marketplace / no means of transport,7,4,5,5,4,0,0,1,5,11,33
Transportation too expensive,12,2,6,9,2,2,0,18,24,15,37
Damage to marketplace,0,1,1,0,0,0,0,0,2,0,0
Damage to roads leading to marketplace,0,0,1,0,0,0,0,1,1,1,1
Insecurity travelling to and from marketplace,7,0,20,2,0,0,0,14,23,1,11
Curfew prevented access to market,0,0,1,0,0,0,0,1,1,0,0
Marketplace never open at a time when we can visit,1,0,0,0,0,0,0,8,1,1,1
Presence of explosive hazards,0,0,0,0,0,0,0,1,0,0,1
Discriminatory practices from market vendors,3,0,5,2,0,0,0,20,5,0,0
lack of documents to travel,3,1,5,1,0,2,0,19,1,4,0
language barriers,4,0,4,1,0,2,0,26,0,0,2
Other (please specify),0,0,1,1,0,0,0,0,0,0,0
Don't know,0,0,1,0,0,1,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,1,1
"In the last 30 days, did you face any barriers to regularly purchasing specific items on the market?","","","","","","","","","","",""
"No, no barrier faced when purchasing market items",35,73,29,47,39,10,50,13,51,17,35
"Yes, some items are too expensive",60,27,65,49,60,81,50,85,36,77,63
"Yes, some items are not available",14,4,6,1,37,2,0,44,6,14,4
"Yes, we have no means of payment (e.g., not enough hard cash, vendors do not accept prepaid cards)",5,0,4,4,0,14,0,17,4,6,1
"Yes, discriminatory practices from market vendors",4,0,8,5,0,1,0,22,6,0,0
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,1,0,0,0,0,0,2,0
"Which items were too expensive to afford? (select category first, then list specific items)","","","","","","","","","","",""
Food items: fresh vegetables/fruits,59,79,68,71,96,36,100,23,52,48,81
Food items: fresh fish/meat/eggs,90,100,84,87,97,97,100,75,75,92,94
Food items: other,34,32,13,15,96,42,0,19,8,22,25
NFIs: Hygiene items for women,9,8,25,27,1,1,0,20,5,2,2
NFIs: Hygiene items for men,29,23,19,27,83,12,0,2,27,1,69
NFIs: Household items,23,34,16,15,64,11,0,30,12,0,21
NFIs: Fuel,21,0,4,7,66,1,0,34,20,16,15
Water,1,0,2,2,0,0,0,0,7,0,2
Medicine or health-related items,20,32,27,13,10,8,100,65,7,16,1
Other (please specify),1,0,3,0,0,0,0,1,0,1,0
Which items were not consistently available?,"","","","","","","","","","",""
Food items: fresh vegetables/fruits,16,25,45,0,2,0,,19,30,37,29
Food items: fresh fish/meat/eggs,30,88,36,0,1,33,,38,30,63,100
Food items: other,54,0,18,0,99,33,,29,30,30,0
NFIs: Hygiene items for women,3,0,9,0,0,0,,8,0,0,0
NFIs: Hygiene items for men,16,25,9,50,30,0,,1,40,3,0
NFIs: Household items,5,12,0,0,1,0,,8,40,3,0
NFIs: Fuel,66,0,0,50,100,0,,59,50,37,43
Water,0,0,0,0,0,0,,0,0,0,14
Medicine or health-related items,32,0,45,50,10,33,,71,20,20,0
Other (please specify),1,0,18,0,0,0,,1,0,0,0
What types of financial service providers do you have access to in or around your mahalla?,"","","","","","","","","","",""
Banks,3,1,0,6,0,0,0,25,1,1,0
Hawala,29,1,8,31,98,4,0,39,31,2,28
Financial services provided by local businesses (e.g. petrol stations),3,2,0,1,0,7,0,13,6,0,2
Financial services provided by members of the Libyan community,29,59,12,9,0,52,0,49,15,31,43
Financial services provided by other refugees or migrants,19,23,12,25,0,45,0,8,18,3,49
Financial services provided by an employer,41,38,38,27,3,56,0,55,14,83,66
Financial services provided by a smuggler,5,0,0,0,0,0,0,27,9,4,8
Other (please specify),1,1,2,1,0,0,0,1,2,0,0
Don't know,6,1,31,17,0,0,100,0,3,0,4
Prefer not to answer,1,0,1,0,0,0,0,0,2,0,4
"If you save part of your income, how do you store your salary/money?","","","","","","","","","","",""
In a safe place at home,52,59,63,74,61,38,,48,45,54,25
Transfer back to home country,22,41,5,10,1,5,,8,4,57,0
Carry it on me,23,37,3,0,25,46,,23,6,8,8
Put it in a bank account,2,7,3,0,1,0,,0,0,1,0
Give it to my employer,23,31,11,11,9,16,,52,13,22,33
Give it to my smuggler,3,0,0,0,0,0,,21,2,1,8
Ask refugee and migrant friends to store it,6,6,16,12,0,6,,7,13,2,17
Ask Libyan friends to store it,10,4,13,1,7,10,,41,7,2,8
Other (please specify),0,0,0,0,1,1,,1,0,1,0
Don't know,0,0,0,0,0,0,,0,0,0,17
Prefer not to answer,5,12,13,0,0,7,,0,11,0,17
"If you transfer some of your money back to your home country (send remittances), how do you send it home?","","","","","","","","","","",""
Official money transfer agency,10,24,5,6,0,21,,15,2,1,0
Unofficial money transfer agency,70,85,26,73,100,76,,45,10,60,42
Hawala system,13,0,13,13,1,0,,21,47,38,33
Through a person I know who travels regularly back home,17,3,59,17,0,20,,65,29,7,42
Through bank account,0,0,0,0,0,1,,0,0,0,0
Other (please specify),0,0,0,0,0,2,,0,0,0,0
Don't know,0,0,3,1,0,0,,1,0,0,0
Prefer not to answer,1,0,0,0,0,0,,0,12,1,25
"If you transfer some of your money back to your home country (send remittances), what percent extra do you have to pay to transfer each unit of currency?","","","","","","","","","","",""
Average,9.71413390010627,6,14.2307692307692,6.95348837209302,11.6683168316832,3.94968553459119,,16.075,10.7118644067797,13.0536912751678,17.5
"1. Sold non-productive household assets or goods (TV, household appliance, furniture, gold, etc.)","","","","","","","","","","",""
"No, had no need to use this coping strategy",55,88,27,48,22,30,50,66,53,79,85
Not applicable/This coping strategy is not available to me,35,9,54,45,77,70,0,5,7,20,15
Yes,9,2,14,6,1,0,0,28,37,0,0
"No, have already exhausted this coping strategy and cannot use it again",1,1,5,1,0,0,50,1,3,0,0
"2. Sold productive household assets or means of transport (sewing machine, wheelbarrow, car, etc.)","","","","","","","","","","",""
"No, had no need to use this coping strategy",49,84,28,49,10,52,50,69,53,33,86
Not applicable/This coping strategy is not available to me,45,14,67,46,90,47,0,9,31,65,13
Yes,5,2,2,4,0,1,0,22,15,2,0
"No, have already exhausted this coping strategy and cannot use it again",1,0,4,1,0,0,50,0,1,0,1
3. Spent savings,"","","","","","","","","","",""
"No, had no need to use this coping strategy",44,77,22,40,30,54,50,43,45,23,74
Yes,31,18,17,24,8,40,0,44,49,73,12
Not applicable/This coping strategy is not available to me,22,1,59,32,62,4,0,13,4,2,13
"No, have already exhausted this coping strategy and cannot use it again",2,5,3,4,0,2,50,1,2,1,1
4. Borrowed money,"","","","","","","","","","",""
"No, had no need to use this coping strategy",57,77,24,48,27,76,50,63,51,83,66
Not applicable/This coping strategy is not available to me,23,3,35,19,69,6,0,18,17,11,12
Yes,19,20,40,32,1,14,50,18,31,5,21
"No, have already exhausted this coping strategy and cannot use it again",1,1,2,1,2,4,0,1,1,1,0
5. Purchased food on credit or borrowed food,"","","","","","","","","","",""
"No, had no need to use this coping strategy",46,85,27,50,2,59,50,49,34,44,84
Not applicable/This coping strategy is not available to me,39,3,49,33,98,17,50,14,59,43,13
Yes,14,12,21,16,0,24,0,38,7,12,3
"No, have already exhausted this coping strategy and cannot use it again",1,1,3,1,0,1,0,0,0,0,0
"6. Reduced expenditures on essential non-food items (water, hygiene items, etc.)","","","","","","","","","","",""
"No, had no need to use this coping strategy",48,78,20,39,36,63,50,46,44,33,83
Yes,40,21,52,38,63,33,0,38,38,58,5
Not applicable/This coping strategy is not available to me,12,1,28,23,1,4,50,17,18,9,12
7. Reduced expenses on health or medicine,"","","","","","","","","","",""
"No, had no need to use this coping strategy",57,80,25,47,76,80,50,44,48,29,85
Yes,25,10,35,29,12,9,50,31,33,63,2
Not applicable/This coping strategy is not available to me,16,3,39,24,12,10,0,24,20,5,11
"No, have already exhausted this coping strategy and cannot use it again",2,8,1,0,1,2,0,1,0,3,2
8. Child or children dropped out of school,"","","","","","","","","","",""
Not applicable/This coping strategy is not available to me,60,24,63,40,95,81,50,65,55,84,12
"No, had no need to use this coping strategy",38,74,33,49,4,18,50,35,44,15,86
Yes,2,2,4,10,1,1,0,1,1,0,1
"No, have already exhausted this coping strategy and cannot use it again",0,1,0,0,0,0,0,0,0,0,1
9. Delayed or skipped paying rent,"","","","","","","","","","",""
"No, had no need to use this coping strategy",50,66,27,39,41,58,100,63,10,88,59
Not applicable/This coping strategy is not available to me,28,20,35,20,55,9,0,31,47,6,15
Yes,22,13,36,39,2,33,0,6,42,6,27
"No, have already exhausted this coping strategy and cannot use it again",1,1,2,1,3,0,0,0,1,0,0
10. Asked strangers for money or food,"","","","","","","","","","",""
"No, had no need to use this coping strategy",63,93,35,58,36,81,50,52,53,75,85
Not applicable/This coping strategy is not available to me,29,5,53,28,61,8,50,33,29,22,13
Yes,8,1,9,13,3,11,0,13,18,2,1
"No, have already exhausted this coping strategy and cannot use it again",1,1,2,1,0,0,0,2,0,1,1
11. Took an additional job,"","","","","","","","","","",""
"No, had no need to use this coping strategy",39,49,22,52,20,26,50,37,57,25,81
Yes,34,43,23,16,55,26,0,50,10,65,5
Not applicable/This coping strategy is not available to me,25,7,54,31,25,45,50,13,33,9,12
"No, have already exhausted this coping strategy and cannot use it again",1,2,1,0,0,4,0,0,0,0,1
"12. HH adult member accepted socially degrading, exploitative, high-risk, or illegal work","","","","","","","","","","",""
"No, had no need to use this coping strategy",50,79,32,59,14,64,50,34,58,44,86
Not applicable/This coping strategy is not available to me,48,18,63,39,86,35,50,65,40,56,14
Yes,2,4,4,2,1,2,0,2,2,0,0
"No, have already exhausted this coping strategy and cannot use it again",0,0,1,0,0,0,0,0,0,0,0
"13. HH minor member accepted socially degrading, exploitative, high-risk, or illegal work","","","","","","","","","","",""
Not applicable/This coping strategy is not available to me,50,7,63,33,87,31,50,61,16,53,33
"No, had no need to use this coping strategy",48,93,33,63,13,69,50,39,84,40,67
Yes,1,0,2,4,0,0,0,0,0,7,0
"No, have already exhausted this coping strategy and cannot use it again",0,0,2,0,0,0,0,0,0,0,0
"14. Child marriage (i.e., marriage of a household member aged 17 or younger)","","","","","","","","","","",""
Not applicable/This coping strategy is not available to me,54,29,63,38,87,25,50,66,21,67,33
"No, had no need to use this coping strategy",44,71,35,60,13,75,0,32,79,33,63
Yes,1,0,1,1,0,0,50,2,0,0,0
"No, have already exhausted this coping strategy and cannot use it again",1,0,1,1,0,0,0,0,0,0,4
What is the main reason why these coping strategies were used?,"","","","","","","","","","",""
Accessing food,78,92,78,72,97,85,50,93,76,45,94
Paying for healthcare,24,61,41,35,11,9,50,39,12,3,13
Paying for education,7,21,9,15,1,1,0,10,3,1,2
Paying for shelter,43,25,43,44,53,37,50,54,73,22,63
Paying for other basic needs,52,47,20,17,83,58,0,47,27,83,71
Paying smuggler(s),6,1,1,0,1,0,0,35,12,5,0
Paying a ransom,1,1,0,3,0,0,0,6,0,1,4
Sending money to family in country of origin,49,55,12,20,80,48,0,43,61,59,46
Other (please specify),1,1,1,1,0,1,0,0,0,1,0
Don't know,1,0,5,4,0,0,50,0,0,0,0
Prefer not to answer,0,0,1,2,0,0,0,0,0,0,0
What was the main source of drinking water you used over the past 30 days?,"","","","","","","","","","",""
Public network (connected to the shelter),43,98,43,21,0,37,0,31,23,69,74
Bottled water,40,0,38,70,98,20,0,57,32,18,11
"Protected well (e.g., in your house or in the mosque)",7,0,12,5,0,3,50,2,18,9,12
Water trucking,6,1,1,2,0,36,50,6,5,0,3
Tap accessible to the public  ,3,1,5,1,0,3,0,4,18,0,0
Unprotected well,1,0,1,1,0,1,0,0,3,3,0
Other (please specify),0,0,1,0,1,1,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,1,0,0
Rainwater,0,0,0,0,0,0,0,1,0,0,0
"Surface water (lakes, ponds, rivers, etc.)",0,0,0,0,0,0,0,0,0,0,0
How far is the main source of drinking water from your dwelling?,"","","","","","","","","","",""
Up to 100m,34,100,50,65,4,55,0,51,6,79,23
500m or more,19,0,7,2,47,6,0,0,31,0,3
101-200m,17,0,28,12,13,33,0,28,1,18,18
201-300m,13,0,8,9,13,4,0,20,13,3,49
301-400m,10,0,3,8,12,0,100,1,32,0,8
401-500m,7,0,6,5,10,2,0,0,18,0,0
"In the last month, has there been any time when you did not have a sufficient quantity of drinking water to meet your daily needs?","","","","","","","","","","",""
No,65,86,61,60,46,66,50,74,74,87,30
Yes,34,14,39,39,53,34,50,26,25,13,68
Don't know,0,0,1,1,0,0,0,0,1,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
How would you describe the quality of the drinking water from the main source you used during the last 30 days? ,"","","","","","","","","","",""
Water is fine to drink ,87,80,83,83,100,92,0,90,87,69,96
Taste is not good ,10,19,16,15,0,3,100,8,13,14,1
