type,name,label::English (en),label::French (fr),label::Arabic (ar),required,default,relevant,appearance,constraint,constraint_message::English (en),constraint_message::French (fr),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::French (fr),hint::Arabic (ar),repeat_count,parameters
select_multiple noaccess_essential_hygiene_items_reasons,noaccess_essential_hygiene_items_reasons,"If there were products in that list that you require but are unable to purchase, what is the main reason why you can't purchase them?",S'il y avait des produits dans cette liste dont vous avez besoin mais que vous ne pouvez pas acheter et quelle est la principale raison pour laquelle vous ne pouvez pas les acheter?,"ÅĞÇ ßÇäÊ åäÇß ãäÊÌÇÊ İí Êáß ÇáŞÇÆãÉ ÊÍÊÇÌåÇ  æáßäß ÛíÑ ŞÇÏÑ Úáì ÔÑÇÆåÇ¡ İãÇ ÇáÓÈÈ ÇáÑÆíÓí æÑÇÁ ÚÏã ŞÏÑÊß Úáì ÔÑÇÆåÇ¿",yes,,"not(selected(${access_essential_hygiene_items},'hygiene_items_available'))",,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" Ãæ ""áÇ ãÑÍÇÖ ÏÇÎá ÇáãÃæì Ãæ íÓåá ÇáæÕæá Åáíå""  ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,noaccess_essential_hygiene_items_reasons_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${noaccess_essential_hygiene_items_reasons},'other')",,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
note,health_section,Health,Santé,ÇáÕÍÉ,,,,,,,,,,,,,,,
begin_group,health,Health,Santé,ÇáÕÍÉ,yes,,,,,,,,,,,,,,
select_one yes_no_dk_dwta,been_ill_15days,Have you been ill in the past 15 days?,"Avez-vous été malade au cours des 15 derniers jours?
",åá ÊÚÑÖÊ ááãÑÖ ÎáÇá ÇáÜ 15 íæãğÇ ÇáãÇÖíÉ¿,yes,,,quick,,,,,,,,,,,
select_one yes_no_dk_dwta,visited_healthcare,Did you go to a health facility to access the needed health care?,êtes-vous allé dans un établissement de santé pour avoir accès aux soins de santé nécessaires?,åá ÊãßäÊ ãä ÇáæÕæá Åáì ãäÔÃÉ ÕÍíÉ ááÍÕæá Úáì ÇáÑÚÇíÉ ÇáÕÍíÉ ÇááÇÒãÉ¿,yes,,${been_ill_15days}='yes',quick,,,,,,,,,,,
select_one yes_no_dk_dwta,access_healthcare_challenges,Do you face any challenges accessing health care when you need it?,"Avez-vous des difficultés à accéder aux services de soins médicales lorsque vous en avez besoin?
",åá ÊæÇÌå Ãí ÕÚæÈÇÊ İí ÇáæÕæá Åáì ÇáãÑÇİŞ ÇáÕÍíÉ ÚäÏãÇ ÊÍÊÇÌ ÅáíåÇ¿,yes,,,quick,,,,,,,,,,,
select_multiple access_healthcare_challenges_reasons,access_healthcare_challenges_reasons,what are the main reasons for you to have limited or no access to healthcare?,quelles sont les raisons principales pour lesquelles vous avez un accès limité aux services soins de santé?,ãÇ åí ÇáÃÓÈÇÈ ÇáÑÆíÓíÉ ÇáÊí ÊÚíŞ ÍÕæáß Úáì ÇáÑÚÇíÉ ÇáÕÍíÉ ÈÔßá ãÍÏæÏ Ãæ ÔÇãá¿ ,yes,,${access_healthcare_challenges}='yes',,"not(selected(.,'dk')) and not(selected(.,'dwta')) and count-selected(.)<=3 or count-selected(.)=1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options. 3 options maximum","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options. 3 options maximum","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì. 3 ÎíÇÑÇÊ ßÍÏ ÃŞÕì",,,3 reasons maximum,3 raisons maximum,áÇ ÊŞÑÃ åĞå ÇáŞÇÆãÉ Úáì ÇáãÌíÈíä. ÇÓÊãÚ Åáì ÅÌÇÈÇÊåã æÇÎÊÑ ÃßËÑ ËáÇË ÎíÇÑÇÊ ãäÇÓÈÉ,,
text,access_healthcare_challenges_reasons_ot,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${access_healthcare_challenges_reasons},'other')",,,,,,,,,,,,
select_multiple nomoney_healthcare_coping,nomoney_healthcare_coping,What do you do when you do not have enough money to pay for all the healthcare that is needed?,Que faites-vous lorsque vous n'avez pas assez d'argent pour payer tous les soins de santé dont vous avez besoin ?,ãÇĞÇ ÊİÚá ÚäÏãÇ áÇ íßæä áÏíß ãÇ íßİí ãä ÇáãÇá áÏİÚ ÊßÇáíİ ÇáÑÚÇíÉ ÇáÕÍíÉ ÇááÇÒãÉ¿,yes,,"selected(${access_healthcare_challenges_reasons},'no_lack_money_topay_care')",,"not(selected(., 'dk')) and not(selected(., 'dwta')) and count-selected(.) <=3 or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options. 3 options maximum","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options. 3 options maximum","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì. 3 ÎíÇÑÇÊ ßÍÏ ÃŞÕì",,,Choose 3 options maximum. ,Choisissez 3 options maximum.,ÍÏÏ ÃİÖá ËáÇËÉ ÎíÇÑÇÊ ,,
text,nomoney_healthcare_coping_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${nomoney_healthcare_coping},'other')",,,,,,,,,,,,
select_one means_transportation_healthcare,means_transportation_healthcare,How do you travel from your place of residence to the nearest health service provider?,Comment vous vous déplacez de votre lieu de résidence au fournisseur de services de santé le plus proche?,ßíİ ÊÓÇİÑ ãä ãßÇä ÅŞÇãÊß Åáì ÃŞÑÈ ãÒæÏ ááÎÏãÇÊ ÇáÕÍíÉ¿,yes,,,quick,,,,,,,,,,,
text,means_transportation_healthcare_ot,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${means_transportation_healthcare}='yes',,,,,,,,,,,,
select_one travel_to_market,travel_to_healthcare_provider,How much time does it take you to travel from your place of residence to the nearest health service provider using this form of travel?,Combien de temps vous faut-il pour voyager de votre lieu de résidence au fournisseur de services de santé le plus proche dépendant sur votre moyen de transport,ßã ãä ÇáæŞÊ ÊÓÊÛÑŞ ááÊäŞá ãä ãßÇä ÅŞÇãÊß Åáì ÃŞÑÈ ãÒæÏ ááÎÏãÇÊ ÇáÕÍíÉ ÈÇÓÊÎÏÇã åĞÇ ÇáäæÚ ãä ÇáÊäŞá¿,yes,,${means_transportation_healthcare}!='dk' and ${means_transportation_healthcare}!='dwta' and ${means_transportation_healthcare}!='didnot_visited_local_healthcare' and ${means_transportation_healthcare}!='no_way_to_get_there_healthcare',quick,,,,,,,,,,,
select_one yes_no_dk_dwta,gave_birth_2years,Did you give live birth in Libya during the 2 last years?,Avez-vous accouché en Libye au cours des 2 dernières années ?,åá ÃäÌÈÊ ãæáæÏğÇ ÍíğÇ İí áíÈíÇ ÎáÇá ÇáÓäÊíä ÇáÃÎíÑÊíä¿,yes,,${respondent_gender}='female',quick,,,,,,,,,,,
select_multiple pregnancy_assistedby,pregnancy_assistedby,Who assisted in the delivery?,Qui a aidé à l'accouchement?,ãä ÇáĞí ÓÇÚÏ İí ÇáæáÇÏÉ¿ ,yes,,${gave_birth_2years}='yes',,"not(selected(., 'dk')) and not(selected(., 'dwta')) and not(selected(., 'no_assistance')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.",,,,,,,,
text,pregnancy_assistedby_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${pregnancy_assistedby},'other')",,,,,,,,,,,,
select_one yes_no_dk_dwta,suffer_chronicdisease,Do you suffer from any chronic disease?,"Souffrez-vous d'une maladie chronique?
",åá ÊÚÇäí ãä Ãí ãÑÖ ãÒãä¿,yes,,,quick,,,,,,,,,,,
select_multiple type_chronicdisease,type_chronicdisease,Which diseases do you suffer from? ,De quelles maladies souffrez-vous?,ãÇ ÇáÃãÑÇÖ ÇáÊí ÊÚÇäí ãäåÇ¿,yes,,${suffer_chronicdisease}='yes',,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÊÍÏíÏ ""áÇ ÃÚÑİ"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÎíÇÑÇÊ ÃÎÑì.",,,,,,,
text,type_chronicdisease_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${type_chronicdisease},'other')",,,,,,,,,,,,
select_one chronicdisease_access_healthcare,chronicdisease_access_healthcare,Do you have adequate access to the needed health care services to treat this condition?,Avez-vous un accès adéquat aux services de soins de santé nécessaires pour traiter cette condition ?,åá áÏíß ÇáæÕæá ÇáßÇİí Åáì ÎÏãÇÊ ÇáÑÚÇíÉ ÇáÕÍíÉ ÇááÇÒãÉ áÚáÇÌ åĞå ÇáÍÇáÉ¿,yes,,${suffer_chronicdisease}='yes',quick,,,,,,,"If respondents do not understand what is meant by ""health care services,"" tell them that this means medical consultations, tests and medicines"," Si les répondants ne comprennent pas ce qu'on veut dire par« services de soins de santé », dites-leur que cela signifie des consultations médicales, des tests et des médicaments","ÅĞÇ áã íİåã ÇáãÓÊÌíÈæä ãÚäì ßáãÉ ""ÎÏãÇÊ ÇáÑÚÇíÉ ÇáÕÍíÉ"" ¡ İÃÎÈÑåã Ãä åĞÇ íÚäí ÇáÇÓÊÔÇÑÇÊ ÇáØÈíÉ æÇáİÍæÕÇÊ æÇáÃÏæíÉ",,
select_multiple chronicdisease_services_unavailable,chronicdisease_services_unavailable,What are the services that are not available (when needed or prescribed)?,Quels sont les services qui ne sont pas disponibles (au besoin ou prescrits) ?,ãÇ åí ÇáÎÏãÇÊ ÇáÊí ÊæÇÌå ãÔÇßá İí ÇáæÕæá ÇáíåÇ(ÚäÏ ÇáÍÇÌÉ)¿  ,yes,,${chronicdisease_access_healthcare}='limited_access' or ${chronicdisease_access_healthcare}='no_access',,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,chronicdisease_services_unavailable_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${chronicdisease_services_unavailable},'other')",,,,,,,,,,,,
select_multiple psycho_distress,psycho_distress,"Within the past 30 days, have you experienced any of the following? (select all that apply)","Au cours des 30 jours, avez-vous eu l'une des expériences suivantes? (Sélectionnez tout ce qui s'y rapporte)","ÎáÇá 30 íæãÇ ÇáãÇÖíÉ¡ åá æÇÌåÊ Ãí ããÇ íáí¿ (ÇÎÊÑ ßá ãÇ íäØÈŞ)",yes,,,,"not(selected(., 'none_psycho_distress')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select ""I did not experience any of the below "" or ""I prefer not to answer"" with other options",,"áÇ íãßä ÅÎÊíÇÑ ""áã ÃæÇÌå ÃíğÇ ããÇ íáí"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
select_one yes_no_dk_dwta,suffer_physical_cognitive_difficulties,"Do you have physical or cognitive difficulties (for example: mobility, hearing, sight, communicating) which impact your ability to carry out day-to-day activities such as working, studying, walking, getting dressed, and remembering things?","Avez-vous des difficultés physiques ou cognitives (par exemple : mobilité, ouïe, vue, communication) qui ont un impact sur votre capacité à mener des activités quotidiennes comme travailler, étudier, marcher, s'habiller et vous souvenir de choses?","åá Êã ÊÔÎíÕß ÃäÊ Ãæ Ãí ÔÎÕ İí ÚÇÆáÊß ÈÅÚÇŞÉ ÌÓÏíÉ Ãæ ÇÏÑÇßíÉ¿ (Úáì ÓÈíá ÇáãËÇá: ÇáÍÑßÉ æÇáÓãÚ æÇáÈÕÑ æÇáÊæÇÕá) ÇáÊí ÊÄËÑ Úáì ŞÏÑÊåã Úáì ÇáŞíÇã ÈÃäÔØÉ íæãíÉ ãËá ÇáÚãá¡ æÇáÏÑÇÓÉ¡ æÇáãÔí¡ æÇÑÊÏÇÁ ÇáãáÇÈÓ¡ æÊĞßÑ ÇáÃÔíÇÁ¿",yes,,,quick,,,,,,,,,,,
select_one physical_cognitive_difficulties_category,physical_cognitive_difficulties_category,Do you fall into any of the following categories:,Faites-vous partie de l'une des catégories suivantes :,åá ÊäÏÑÌ İí Ãí ãä ÇáİÆÇÊ ÇáÊÇáíÉ:,yes,,${suffer_physical_cognitive_difficulties}='yes',quick,,,,,,,,,,,
select_one physical_cognitive_difficulties_cause,physical_cognitive_difficulties_cause,What was the cause of the disability?,Quelle était la cause de l'invalidité ?,ãÇ åæ ÓÈÈ ÇáÅÚÇŞÉ¿,yes,,${suffer_physical_cognitive_difficulties}='yes',quick,,,,,,,,,,,
text,physical_cognitive_difficulties_cause_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${physical_cognitive_difficulties_cause}='other',,,,,,,,,,,,
select_one chronicdisease_access_healthcare,physical_cognitive_access_healthcare,Do you have adequate access to the health care that you need to treat or manage your condition?,Avez-vous un accès adéquat aux soins de santé dont vous avez besoin pour traiter ou gérer votre condition ?,åá áÏíß ÅãßÇäíÉ æÕæá ßÇİíÉ Åáì ÇáÑÚÇíÉ ÇáÕÍíÉ ÇáÊí ÊÍÊÇÌåÇ áÚáÇÌ ÍÇáÊß¿,yes,,${suffer_physical_cognitive_difficulties}='yes',,,,,,,,"If respondents do not understand what is meant by ""health care services,"" tell them that this means medical consultations, tests and medicines"," Si les répondants ne comprennent pas ce qu'on veut dire par« services de soins de santé », dites-leur que cela signifie des consultations médicales, des tests et des médicaments","ÅĞÇ áã íİåã ÇáãÓÊÌíÈæä ãÚäì ßáãÉ ""ÎÏãÇÊ ÇáÑÚÇíÉ ÇáÕÍíÉ"" ¡ İÃÎÈÑåã Ãä åĞÇ íÚäí ÇáÇÓÊÔÇÑÇÊ ÇáØÈíÉ æÇáİÍæÕÇÊ æÇáÃÏæíÉ",,
select_multiple physical_cognitive_services_unavailable,physical_cognitive_services_unavailable,What are the services that are not available (when needed or prescribed)?,Quels sont les services qui ne sont pas disponibles (au besoin ou prescrits) ?, ãÇ åí ÇáÎÏãÇÊ ÇáÊí ÊæÇÌå ãÔßáÇÊ ÇáæÕæá ÇáíåÇ,yes,,${physical_cognitive_access_healthcare}='limited_access' or ${physical_cognitive_access_healthcare}='no_access',,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,physical_cognitive_services_unavailable_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${physical_cognitive_services_unavailable},'other')",,,,,,,,,,,,
select_one yes_no,psychologica_distress_signs,respondents that report experiencing signs of psychological distress,,,,,,,,,,,,,,,,,
select_one yes_no,psychologica_distress_signs_under18,respondents who expressed PSS needs with children under age of 18 ,,,,,,,,,,,,,,,,,
note,hi_tripoli,"If the HH is in the mantika of Tripoli AND they have at least one member with a disability:
You have said that at least one member of your household has physical or cognitive difficulties which impact their ability to carry out day-to-day activities. There is an international organization called Handicap International which operates in Tripoli and may be able to offer support. To learn if your household member is eligible for this support, here is a phone number that you can call, if you wish: 092 307 2273.
","Si le ménage est dans la mantika de Tripoli ET qu'il y a au moins un membre handicapé :
Vous avez dit qu'au moins un membre de votre ménage a des difficultés physiques ou cognitives qui ont une incidence sur sa capacité d'accomplir ses activités quotidiennes. Il existe une organisation internationale appelée Handicap International qui opère à Tripoli et qui peut offrir son soutien. Pour savoir si le membre de votre ménage est admissible à ce soutien, voici un numéro de téléphone que vous pouvez composer, si vous le désirez : 092 307 2273","ÅĞÇ ßÇä ÑÈ ÇáÇÓÑÉ ãæÌæÏ İí ãäØŞÉ ØÑÇÈáÓ æßÇä áÏíå ÚÖæ æÇÍÏ İí ÇáÇÓÑÉ Úáì ÇáÃŞá Ğæ ÅÚÇŞÉ:áŞÏ ŞáÊ Åä İÑÏğÇ æÇÍÏğÇ Úáì ÇáÃŞá ãä ÃİÑÇÏ ÃÓÑÊß íÚÇäí ãä ÕÚæÈÇÊ ÌÓÏíÉ Ãæ ãÚÑİíÉ ÊÄËÑ Úáì ŞÏÑÊå Úáì ÇáŞíÇã ÈÃäÔØÉ íæãíÉ. åäÇß ãäÙãÉ ÏæáíÉ ÊÏÚì åÇäÏíßÇÈ ÅäÊÑäÇÔæäÇá ÊÚãá İí ØÑÇÈáÓ æŞÏ Êßæä ŞÇÏÑÉ Úáì ÊŞÏíã ÇáÏÚã. áãÚÑİÉ ãÇ ÅĞÇ ßÇä ÃÍÏ ÃİÑÇÏ ÃÓÑÊß ãÄåáğÇ ááÍÕæá Úáì åĞÇ ÇáÏÚã ¡ Åáíß ÑŞã åÇÊİ íãßäß ÇáÇÊÕÇá Èå ¡ ÅĞÇ ßäÊ ÊÑÛÈ İí Ğáß: 0923072273",,,${mantika}='LY0211' and ${suffer_physical_cognitive_difficulties}='yes',,,,,,,,,,,,
note,hi_misrata,"If the HH is in the mantika of Misrata AND they have at least one member with a disability:
You have said that at least one member of your household has physical or cognitive difficulties which impact their ability to carry out day-to-day activities. There is an international organization called Handicap International which operates in Tripoli and may be able to offer support. To learn if your household member is eligible for this support, here is a phone number that you can call, if you wish: 092 307 2276.
","Si le ménage est dans la mantika de Misrata ET qu'il y a au moins un membre handicapé :
Vous avez dit qu'au moins un membre de votre ménage a des difficultés physiques ou cognitives qui ont une incidence sur sa capacité d'accomplir ses activités quotidiennes. Il existe une organisation internationale appelée Handicap International qui opère à Tripoli et qui peut offrir son soutien. Pour savoir si le membre de votre ménage est admissible à ce soutien, voici un numéro de téléphone que vous pouvez composer, si vous le désirez : 092 307 2276","ÅĞÇ ßÇä ÑÈ ÇáÇÓÑÉ ãæÌæÏ İí ãäØŞÉ ãÕÑÇÊÉ æßÇä áÏíå ÚÖæ æÇÍÏ İí ÇáÇÓÑÉ Úáì ÇáÃŞá Ğæ ÅÚÇŞÉ:áŞÏ ŞáÊ Åä İÑÏğÇ æÇÍÏğÇ Úáì ÇáÃŞá ãä ÃİÑÇÏ ÃÓÑÊß íÚÇäí ãä ÕÚæÈÇÊ ÌÓÏíÉ Ãæ ãÚÑİíÉ ÊÄËÑ Úáì ŞÏÑÊå Úáì ÇáŞíÇã ÈÃäÔØÉ íæãíÉ. åäÇß ãäÙãÉ ÏæáíÉ ÊÏÚì åÇäÏíßÇÈ ÅäÊÑäÇÔæäÇá ÊÚãá İí ØÑÇÈáÓ æŞÏ Êßæä ŞÇÏÑÉ Úáì ÊŞÏíã ÇáÏÚã. áãÚÑİÉ ãÇ ÅĞÇ ßÇä ÃÍÏ ÃİÑÇÏ ÃÓÑÊß ãÄåáğÇ ááÍÕæá Úáì åĞÇ ÇáÏÚã ¡ Åáíß ÑŞã åÇÊİ íãßäß ÇáÇÊÕÇá Èå ¡ ÅĞÇ ßäÊ ÊÑÛÈ İí Ğáß: 0923072276",,,${mantika}='LY0214' and ${suffer_physical_cognitive_difficulties}='yes',,,,,,,,,,,,
note,hi_benghazi,"If the HH is in the mantika of Benghazi AND they have at least one member with a disability:
You have said that at least one member of your household has physical or cognitive difficulties which impact their ability to carry out day-to-day activities. There is an international organization called Handicap International which operates in Tripoli and may be able to offer support. To learn if your household member is eligible for this support, here is a phone number that you can call, if you wish: 094 424 3979.
","Si le ménage est dans la mantika de Benghazi ET qu'il y a au moins un membre handicapé :
Vous avez dit qu'au moins un membre de votre ménage a des difficultés physiques ou cognitives qui ont une incidence sur sa capacité d'accomplir ses activités quotidiennes. Il existe une organisation internationale appelée Handicap International qui opère à Tripoli et qui peut offrir son soutien. Pour savoir si le membre de votre ménage est admissible à ce soutien, voici un numéro de téléphone que vous pouvez composer, si vous le désirez : 094 424 3979","ÅĞÇ ßÇä ÑÈ ÇáÇÓÑÉ ãæÌæÏ İí ãäØŞÉ ÈäÛÇÒí æßÇä áÏíå ÚÖæ æÇÍÏ İí ÇáÇÓÑÉ Úáì ÇáÃŞá Ğæ ÅÚÇŞÉ:áŞÏ ŞáÊ Åä İÑÏğÇ æÇÍÏğÇ Úáì ÇáÃŞá ãä ÃİÑÇÏ ÃÓÑÊß íÚÇäí ãä ÕÚæÈÇÊ ÌÓÏíÉ Ãæ ãÚÑİíÉ ÊÄËÑ Úáì ŞÏÑÊå Úáì ÇáŞíÇã ÈÃäÔØÉ íæãíÉ. åäÇß ãäÙãÉ ÏæáíÉ ÊÏÚì åÇäÏíßÇÈ ÅäÊÑäÇÔæäÇá ÊÚãá İí ØÑÇÈáÓ æŞÏ Êßæä ŞÇÏÑÉ Úáì ÊŞÏíã ÇáÏÚã. áãÚÑİÉ ãÇ ÅĞÇ ßÇä ÃÍÏ ÃİÑÇÏ ÃÓÑÊß ãÄåáğÇ ááÍÕæá Úáì åĞÇ ÇáÏÚã ¡ Åáíß ÑŞã åÇÊİ íãßäß ÇáÇÊÕÇá Èå ¡ ÅĞÇ ßäÊ ÊÑÛÈ İí Ğáß: 0944243979",,,${mantika}='LY0103' and ${suffer_physical_cognitive_difficulties}='yes',,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
note,education_section,Education,Education,ÇáÊÚáíã  ,,,,,,,,,,,,,,,
begin_group,education,Education,Education,ÇáÊÚáíã  ,yes,,,,,,,,,,,,,,
begin_group,children_enrolled,How many school aged children (6-17) in your HH are officially enrolled in a formal school in Libya? ,Combien d'enfants d'âge scolaire (6-17 ans) de votre ménage sont officiellement inscrits dans une école formelle en Libye ? ,ßã ÚÏÏ ÇáÃØİÇá  İí ÃÓÑÊß ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä  (6-17) ÇáãÓÌáíä ÑÓãíÇ İí ãÏÑÓÉ ÑÓãíÉ İí áíÈíÇ¿,yes,,${school_aged_girls}>0 or ${school_aged_boys}>0,,,,,,,, A formal school is any public or state-recognised private school providing planned education to children,Une école formelle est toute école privée publique ou reconnue par l'?tat qui dispense d'une éducation planifiée aux enfants, ÇáãÏÑÓÉ ÇáÑÓãíÉ åí Ãí ãÏÑÓÉ ÚÇãÉ Ãæ  ÎÇÕÉ ãÚÊÑİ ÈåÇ ãä ÇáÏæáÉ ÊæİÑ ÇáÊÚáíã ÇáãÎØØ áå ááÃØİÇá,,
integer,enrolled_boys_6_10,1. Boys (6-10),1. Garçons (6-10),ÇáİÊíÇä (6-10),yes,,,,.>= 0 and .<= ${school_aged_boys},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,enrolled_boys_11_17,2. Boys (11-17),2. Garçons (11-17),ÇáİÊíÇä (11-17),yes,,,,.>= 0 and .<= ${school_aged_boys},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,enrolled_girls_6_10,3. Girls (6-10),3. Filles (6-10),ÇáİÊíÇÊ (6-10),yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,enrolled_girls_11_17,4. Girls (11-17) ,4. Filles (11-17) ,ÇáİÊíÇÊ (11-17),yes,,,,.>= 0 and .<= ${school_aged_girls},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
calculate,children_enrolled_calc,,,,,,,,,,,,,${enrolled_boys_6_10}+${enrolled_boys_11_17}+${enrolled_girls_6_10}+${enrolled_girls_11_17},,,,,
note,children_enrolled_err,the total is greater than school aged children,le total est supérieur à celui des enfants d'âge scolaire,,yes,,${children_enrolled_calc} > (${school_aged_girls}+${school_aged_boys}),,,,,,,,,,,,
begin_group,chidlren_attending,"Of the school-aged children who are enrolled in school, how many of them regularly attended school during the 2018-2019 academic year? ","Parmi les enfants d'âge scolaire qui sont inscrits à l'école, combien d'entre eux ont été régulièrement scolarisés pendant l'année scolaire 2018-2019 ? ","ãä Èíä ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ ÇáãáÊÍŞíä ÈÇáãÏÑÓÉ¡ ßã ãäåã ÇáÊÍŞ ÈÇäÊÙÇã ÈÇáãÏÑÓÉ ÎáÇá ÇáÚÇã ÇáÏÑÇÓí 2018-2019¿",yes,,${school_aged_girls}>0 or ${school_aged_boys}>0,,,,,,,,,,,,
integer,attending_boys_6_10,1. Boys (6-10),1. Garçons (6-10),ÇáİÊíÇä (6-10),yes,,,,.>= 0 and .<= ${school_aged_boys},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
integer,attending_boys_11_17,2. Boys (11-17),2. Garçons (11-17),ÇáİÊíÇä (11-17),yes,,,,.>= 0 and .<= ${school_aged_boys},should be between 0 and school aged children,devrait être entre 0 et les enfants d'âge scolaire,íÌÈ Ãä íßæä Èíä 0 æ ÇáÃØİÇá İí Óä ÇáãÏÑÓÉ,,,,,,,
